MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3),PM2.5 Particulate (ug/m3)
2016-09-15 23:00:00,4.6,19.1,26.2,8.0,4.3
2016-09-16 00:00:00,3.6,15.1,20.6,7.8,3.7
2016-09-16 01:00:00,3.1,16.2,20.9,20.9,18.8
2016-09-16 02:00:00,2.6,16.1,20.1,25.1,22.1
2016-09-16 03:00:00,2.7,21.2,25.3,27.6,23.8
2016-09-16 04:00:00,12.9,34.8,54.6,19.0,16.1
2016-09-16 05:00:00,24.8,58.8,96.9,17.3,13.1
2016-09-16 06:00:00,27.4,65.8,107.8,22.9,16.2
2016-09-16 07:00:00,18.2,37.7,65.5,13.9,9.5
2016-09-16 08:00:00,7.9,25.4,37.4,8.8,6.2
2016-09-16 09:00:00,6.4,20.9,30.8,8.4,5.2
2016-09-16 10:00:00,5.4,17.2,25.4,8.5,5.6
2016-09-16 11:00:00,7.3,18.5,29.8,6.9,4.0
2016-09-16 12:00:00,8.8,23.0,36.4,7.4,4.1
2016-09-16 13:00:00,6.3,18.6,28.3,7.1,3.7
2016-09-16 14:00:00,8.2,19.2,31.7,7.3,4.6
2016-09-16 15:00:00,5.4,13.3,21.6,10.8,6.0
2016-09-16 16:00:00,5.1,11.6,19.4,11.4,4.7
2016-09-16 17:00:00,4.7,17.0,24.2,10.6,5.1
2016-09-16 18:00:00,4.6,26.5,33.6,10.7,4.9
2016-09-16 19:00:00,3.7,23.0,28.6,11.6,5.1
2016-09-16 20:00:00,2.9,20.3,24.8,10.3,3.8
2016-09-16 21:00:00,2.5,19.1,23.0,11.8,4.8
2016-09-16 22:00:00,1.3,15.8,17.9,5.7,-1.4
2016-09-16 23:00:00,1.1,10.8,12.4,4.4,-1.6
2016-09-17 00:00:00,1.2,9.4,11.3,9.5,5.6
2016-09-17 01:00:00,0.7,9.5,10.6,6.5,-0.2
2016-09-17 02:00:00,1.2,8.9,10.8,3.8,-1.7
2016-09-17 03:00:00,1.3,10.1,12.1,1.6,-2.0
2016-09-17 04:00:00,1.0,7.9,9.5,1.7,-2.0
2016-09-17 05:00:00,1.6,8.2,10.7,4.8,1.7
2016-09-17 06:00:00,1.8,7.4,10.2,5.4,2.3
